deidentified_id_code,gender,gender_other,term,age,r_mem_s_4_text,r_mem_s_13_valence,race_primary,birth_country,ethnic_identify,ethnic_other,,,
1,Man,na,F18,22,"I was at a work event and I was laughing to the point where my eyes started to water uncontrollably, which made me very uncomfortable.",-2,White/Caucasian,Canada,Canadian,na,,,
3,Woman,[Decline to Answer],F18,20,mother locking me inside of house and trying to end her life with alcohol and pills. shattering alcohol bottles and relatives then trying to break into the house stopping her.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Hong Kong,Cantonese,[Decline to Answer],,,
4,Woman,[Decline to Answer],F18,20,2 popular girls that I became friends with in my junior year of high school bullied one of my best friends that I had known since grade 9. They disliked her for some reason and I was too scared to defend her against them and silently let them bully her.,-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
5,Man,[Decline to Answer],F18,20,"I was abused and have ptsd, I have reoccurring memories regarding that pop into my head all the time. Emotionally and verbally abused by my dance teacher from 3-17",-2,White/Caucasian,Canada,Scottish,[Decline to Answer],,,629
10,Woman,i didn't,F18,20,"my memory isn't a pleasant one and seems to always pop up whenever i feel uncomfortable or going to sleep. It is about seeing something i really wish I never had and no matter how hard I try to block it out, it will not stay hidden w/in the depths of my memory.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,707
11,Woman,[Decline to Answer],F18,20,"A student on campus told me to ""slit my wrists and send him a pic"". I often have the entire situation play out in my mind on a loop.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,428
13,Woman,n/a,F18,19,"I was in a car accident in grade 12 and I sometimes feel like the accident is recurring. I can hear the sounds, see the sights and I feel the anxiety/stress of the event. Sometimes it feels like I am still in the car and that there is a feeling of panic.",-2,White/Caucasian,Canada,Scottish,n/a,,,380
18,Man,n/a,F18,21,"It is a memory of me being bullied at school when I was in the eight grade. The other boys in the class pushed me down to the ground and started kicking at me. The feelings associated with this memory are often sadness, frustration, and relief that, that particular part of my life is now behind me.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,339
21,Woman,[Decline to Answer],F18,20,"I had a falling out with a friend over the course of a few months, sometimes the event that started it pops into my mind and I end up going over it again.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
24,Woman,[Decline to Answer],F18,19,It a memory of an event that happened in high school. I felt vulnerable and I was being judged and scrutinized by another person. The memory takes place early in the morning at the school library. In total the event is only a few minutes long but it feels longer,-2,Middle Eastern,Canada,Other not listed,Turkish,,,
27,Woman,[Decline to Answer],F18,21,It is not a pleasant memory. It is from a traumatic event. Negative feelings are associated with this event.,-2,White/Caucasian,Canada,Portuguese,[Decline to Answer],,,
30,Woman,[Decline to Answer],F18,19,The memory of my ex boyfriend breaking up with me pops up in my head in many different situations.,-2,White/Caucasian,Canada,Italian,[Decline to Answer],,,
31,Woman,n/a,F18,20,"when I was 16 and I was at a friend's house. we drank a lot of wine, and he started to kiss me. I was uncomfortable. he continued to kiss me even though I asked him to stop, but it was hard for me to move him off of me. I continously remember the feeling of pushing him off but it not doing anything",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
32,Woman,[Decline to Answer],F18,20,"Possibly scratched a car when out with a friend, felt bad about it, the owner came out, felt scared,  apologized and walked away.",-2,Other not listed above,Canada,Other not listed,Taishanese and Irish,,,
33,Woman,[Decline to Answer],F18,20,"It was unpleasant.
Did not help me at all. 
Would have been better without it.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
40,Woman,[Decline to Answer],F18,20,it is slightly traumatic. I often think about this event if I am not doing something. Often feels like I am reliving the event through day-dreaming,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
47,Woman,[Decline to Answer],F18,21,a traumatic situation concerning sexual misconduct toward me as a small child by someone extremely close to me.,-2,Middle Eastern,Canada,Other not listed,West-Asian,,,
49,Man,[Decline to Answer],F18,21,Breakup with ex girlfriend and run-ins afterwards,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
51,Woman,[Decline to Answer],F18,20,"The night I broke up with my girlfriend. I remember this night frequently, and events leading up to the event and right after.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
52,Man,[Decline to Answer],F18,20,Conversations with my ex-girlfriend,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
55,Woman,[Decline to Answer],F18,21,what happened in an assault,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
57,Woman,[Decline to Answer],F18,25,"embarrassed myself at an event, drunk",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
58,Woman,[Decline to Answer],F18,21,keep recalling negative encounters with an ex that happened before we dated,-2,Middle Eastern,Iraq,Arab,[Decline to Answer],,,
60,Man,[Decline to Answer],F18,23,"I get on a cycle of failures, specifically instances where I acted in a way I regret. It goes from the most recent one to several in my past. One of them is how I reacted to someone I thought had had enough to drink at a party and another is hitting a girl when I was little.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
61,Man,[Decline to Answer],F18,22,Argument with long time childhood friend that ended with him physically assaulting me.,-2,White/Caucasian,Canada,Other not listed,Irish/Canadian equally,,,
63,Woman,[Decline to Answer],F18,20,"Most memories are similar being that they are work related and I work in a stressful job with a very bad manager, I stay for the good money but I constantly have conflict with my manager",-2,Hispanic,Canada,Spanish,[Decline to Answer],,,
64,Woman,[Decline to Answer],F18,27,Assault,-2,"East Asian (e.g. Chinese, Japanese, Korean)",South Korea,Canadian,[Decline to Answer],,,
65,Man,[Decline to Answer],F18,22,My roommate had withheld a $230 deposit he owed me for 4 months. The conversation I had with him after I retrieved my money was him playing the victim and saying he just wanted to talk before he gave me the money back.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,[Decline to Answer],,,
66,Woman,[Decline to Answer],F18,20,"I vividly remember the event. Often times, I find myself reliving the traumatic event. This gets in the way of my day to day functions.",-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
67,Woman,[Decline to Answer],F18,30,"Often I am going over a list of things to do in my head when this memory pops into my head. I lived in a condo apartment in which I sublet out to someone for 4 months. The landlord charged me for the final month instead of the subletter. Unable to handle confrontation it took on and off communication with the landlord and the subletter before I gave up and let the payment go, losing a substantial amount of money. The stress of it being unresolved to this day, and being out a first and last amount of rent still bothers me and makes me uncomfortable, causing this memory to transpire whenever I think of important tasks to accomplish.",-2,White/Caucasian,Canada,[Decline to Answer],[Decline to Answer],,,
71,Woman,[Decline to Answer],F18,20,I'm huddled in a corner (crying) and people are purposely ignoring me.,-2,White/Caucasian,Canada,Italian,[Decline to Answer],,,
73,Woman,[Decline to Answer],F18,23,"Memory of the event/sub-sequence of events relating to my father's bicycle accident and his subsequent quadriplegia. The hospital visits, the emotional stress, and the relational fallout and estrangement from family members. Having to mourn the loss of a father, while never being given the ability able to move forward. Watching him experience a fate worse than death; indefinite life in a hospital bed as a conscious but immobile husk of his former self.",-2,White/Caucasian,Canada,European,[Decline to Answer],,,
75,Woman,[Decline to Answer],F18,21,The most frequent recollection that has recurrently popped into my mind by myself within the most recent year is one of having an argument with an ex-boyfriend. The memory of what he said to be comes to my mind frequently and takes a hit on my self-esteem.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
79,Woman,N/A,F18,22,"Memory of heading home on highway 7 after work and being closely followed by a black SUV. A pickup truck drove towards me in the other lane and behind it, a coyote ran across the street. I braked but noticed in my rearview the SUV wasn't slowing down and was getting closer by the second. Oncoming traffic was still coming so I closed my eyes hoping I wouldn't hit the coyote or be hit.",-2,White/Caucasian,Canada,Greek,N/A,,,
81,Woman,[Decline to Answer],F18,23,"memory of dog passing away, father in hospital - sad, anxious, hopeless",-2,White/Caucasian,Canada,Polish,[Decline to Answer],,,
83,Woman,[Decline to Answer],F18,22,a close friend making fun of me,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
84,Woman,[Decline to Answer],F18,20,Saying no to a friend when he asked me to prom in front of a large group of people,-2,White/Caucasian,Canada,Italian,[Decline to Answer],,,
89,Woman,[Decline to Answer],F18,21,My mother's suicide. She took sleeping pills. I sometimes see her lying on the bed just as I walked into the room.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
93,Man,[Decline to Answer],F18,20,"parents divorce, good memories with ex girlfriend",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
94,Man,[Decline to Answer],F18,19,I tore my PCL and couldn't dance.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Chinese,[Decline to Answer],,,
95,Woman,[Decline to Answer],F18,20,Driving on the highway on a snowy day around 9pm and lost control of the car. The car begins to spin in circles and stop diagonally across two lanes. I watched two trucks driving towards where I was.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Hong Kong,Cantonese,[Decline to Answer],,,
97,Man,[Decline to Answer],F18,20,"The negative feelings (emotions) associated with the physically painful event resurfaced a few times a few months ago, however has since subsided.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
102,Woman,[Decline to Answer],F18,22,Remembering seeing my highschool graduation quote in the yearbook. It was a really embarrassing quote looking back on it. I feel very uncomfortable whenever it comes to mind.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,[Decline to Answer],,,
